video_id	youtube_url	start_sec	end_sec	category	notes
Kvl8-9FTYYI	https://www.youtube.com/watch?v=Kvl8-9FTYYI	0	0	other	bootstrap scam candidate; needs manual timestamp review
SeW-CsAP17k	https://www.youtube.com/watch?v=SeW-CsAP17k	0	0	other	bootstrap scam candidate; needs manual timestamp review
AEZdbouYj4s	https://www.youtube.com/watch?v=AEZdbouYj4s	0	0	other	bootstrap scam candidate; needs manual timestamp review
i1HiVe7LM4c	https://www.youtube.com/watch?v=i1HiVe7LM4c	0	0	call_center	bootstrap scam candidate; needs manual timestamp review
e79yjpumaDI	https://www.youtube.com/watch?v=e79yjpumaDI	0	0	other	bootstrap scam candidate; needs manual timestamp review
6xN_6joxx5U	https://www.youtube.com/watch?v=6xN_6joxx5U	0	0	call_center	bootstrap scam candidate; needs manual timestamp review
hpZFJctBUHQ	https://www.youtube.com/watch?v=hpZFJctBUHQ	0	0	order_taking	bootstrap legit candidate; needs manual timestamp review
gD7xQGXpSBg	https://www.youtube.com/watch?v=gD7xQGXpSBg	0	0	tech_support	bootstrap legit candidate; needs manual timestamp review
z44Sve0qbaE	https://www.youtube.com/watch?v=z44Sve0qbaE	0	0	doctor_appointment	bootstrap legit candidate; needs manual timestamp review
QTZq96twjs0	https://www.youtube.com/watch?v=QTZq96twjs0	0	0	customer_service	bootstrap legit candidate; needs manual timestamp review
SXGtFXRz2Lg	https://www.youtube.com/watch?v=SXGtFXRz2Lg	0	0	refund	bootstrap legit candidate; needs manual timestamp review
IVoWT_YyEog	https://www.youtube.com/watch?v=IVoWT_YyEog	0	0	billing	bootstrap legit candidate; needs manual timestamp review
